expiry,option_type,strike,bid,ask,last,mid,volume,open_interest,spot,snapshot_utc,T,moneyness,iv
2026-06-11,put,716.0,0.13,0.14,0.14,0.135,20.0,50.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9449276370945032,0.1971273776721257
2026-06-11,put,717.0,0.13,0.14,0.27,0.135,76.0,78.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9462473684312274,0.19300806847700103
2026-06-11,put,719.0,0.15,0.16,0.21,0.155,6.0,46.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9488868311046758,0.18869310552880264
2026-06-11,put,720.0,0.16,0.17,0.18,0.165,62.0,129.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9502065624413999,0.1863082865629859
2026-06-11,put,721.0,0.17,0.18,0.29,0.175,3.0,48.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.951526293778124,0.18378762237846566
2026-06-11,put,723.0,0.19,0.2,0.26,0.195,244.0,53.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9541657564515724,0.1783750424253342
2026-06-11,put,725.0,0.22,0.23,0.26,0.225,170.0,109.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9568052191250207,0.17388128311705697
2026-06-11,put,726.0,0.23,0.24,0.32,0.235,836.0,785.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9581249504617448,0.17073664126156282
2026-06-11,put,727.0,0.25,0.26,0.29,0.255,260.0,90.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.959444681798469,0.16871852929030998
2026-06-11,put,728.0,0.27,0.28,0.3,0.275,278.0,143.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9607644131351932,0.16648404045772547
2026-06-11,put,729.0,0.29,0.3,0.33,0.295,36.0,198.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9620841444719174,0.16405199030573717
2026-06-11,put,730.0,0.3,0.31,0.33,0.305,520.0,384.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9634038758086415,0.16042237314096056
2026-06-11,put,731.0,0.32,0.33,0.34,0.325,232.0,39.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9647236071453656,0.15769290660819937
2026-06-11,put,732.0,0.34,0.35,0.41,0.345,74.0,525.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9660433384820899,0.15479883271547928
2026-06-11,put,733.0,0.38,0.39,0.38,0.385,98.0,86.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.967363069818814,0.15346611271183164
2026-06-11,put,735.0,0.44,0.45,0.49,0.445,675.0,231.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9700025324922623,0.14828698607198315
2026-06-11,put,736.0,0.49,0.5,0.53,0.495,397.0,96.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9713222638289866,0.14678805994065988
2026-06-11,put,737.0,0.54,0.55,0.58,0.545,129.0,367.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9726419951657107,0.14492599861575314
2026-06-11,put,738.0,0.57,0.58,0.58,0.575,278.0,80.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9739617265024348,0.1415132319421759
2026-06-11,put,739.0,0.63,0.64,0.63,0.635,119.0,214.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.975281457839159,0.13967691154697762
2026-06-11,put,740.0,0.69,0.71,0.73,0.7,430.0,384.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9766011891758832,0.13775431152967305
2026-06-11,put,741.0,0.76,0.78,0.81,0.77,145.0,83.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9779209205126074,0.13572527611071247
2026-06-11,put,742.0,0.85,0.86,0.85,0.855,149.0,297.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9792406518493315,0.13404328281772487
2026-06-11,put,743.0,0.93,0.94,0.93,0.935,269.0,190.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9805603831860557,0.1317230410574938
2026-06-11,put,744.0,1.02,1.03,1.05,1.025,319.0,75.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9818801145227799,0.12945989949920478
2026-06-11,put,745.0,1.14,1.15,1.14,1.145,343.0,643.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.983199845859504,0.12798703228798392
